RatingID,PoleSpeed,MotorRotorInertia,Connection,BarMaterial,ERMaterial,WindingResistAt105,BarRes,ERRes,StatorOD,RotorOD,RotorSlotType,StatorSlotType,NemaDesign,NemaKVACode,Name,SRPM,Efficiency100,PowerFactor100,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,LockedRotorAmps,LockedRotorTorque,BreakDownTorque,SFRiseByRes1,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize
H0402024,4,0.24790191739334,Delta,AL,AL,2.75364538352442,2.70945358276367,0.690636657896611,230,142.100000023842,Dbl - Closed,48,"A,B",H,TIC Premium Brand,1500,0.905,0.865,5,380,50,1449,7.24,2.44,52.7,267.3,285.9,26,1.3150873965041396,9.68411208893812,7.24818134307861,20.9826164245605,15.2172355651855,15.2172355651855,64.2552032470703,28.7238731384277,21.5398426055908,19.5433177947998,7.05493016577206,13.1986436843872,215T
H040245,4,22.7065510984169,Wye,AL,AL,0.725136961702398,0.463581115007401,0.0874615057509683,520,337.599999904633,Dbl - Closed,48,A,H,Standard / High Efficiency,1800,0.955,0.839,250,4160,60,1789,32.28,10.43,225.4,228,278.1,62,1.3726554787759133,7.48530074659122,2.99005055427551,20.262523651123,15.9386224746704,15.9386224746704,60.9358444213867,31.9821834564209,10.9243240356445,7.98371934890747,5.83941178291976,12.6522188186646,N449
H040245,4,22.7065510984169,Wye,AL,AL,0.725136961702398,0.463581115007401,0.0874615057509683,520,337.599999904633,Dbl - Closed,48,A,H,Standard / High Efficiency,1800,0.955,0.839,250,4160,60,1789,32.28,10.43,225.4,228,278.1,62,1.3726554787759133,7.48530074659122,2.99005055427551,20.262523651123,15.9386224746704,15.9386224746704,60.9358444213867,31.9821834564209,10.9243240356445,7.98371934890747,5.83941178291976,12.6522188186646,N449
3Q8150C,8,39.8034910781001,Delta,AL,AL,0.0501354259206184,0.0643178299069405,0.00424896549977617,520,373.399999976158,Dbl - Closed,72,"A,B",G,Standard / High Efficiency,900,0.949,0.79,150.000002045414,575,60,891,149.8,57.04,911.6,157,248.6,46,1.3216374269005848,2.78969197089793,0.309534966945648,2.03509783744812,16.2961120605469,16.2961120605469,58.02294921875,29.2119102478027,25.5488548278809,21.7801399230957,5.30552184987748,1.3091516494751,N449
4H6010,6,0.596715881851309,Delta,AL,AL,1.38761882033251,1.52856683731079,0.13656863617746,265,174.199999988079,Dbl - Closed,54,A,J,TIC Premium Brand,1200,0.928,0.788,10,460,60,1177,12.8,5.75,94.3,250,315.3,38,1.342273307790549,5.72118810446678,3.99688911437988,14.5501327514648,16.2862148284912,16.2862148284912,51.6517677307129,22.5192966461182,28.1186256408691,19.1454410552979,6.06818059651195,8.16727447509766,256T
4H6010,6,0.596715881851309,Delta,AL,AL,1.38761882033251,1.52856683731079,0.13656863617746,265,174.199999988079,Dbl - Closed,54,"A,B,C",H,TIC Premium Brand,1200,0.928,0.788,10,460,60,1177,12.8,5.75,94.3,250,315.3,38,1.342273307790549,5.72118810446678,3.99688911437988,14.5501327514648,16.2862148284912,16.2862148284912,51.6517677307129,22.5192966461182,28.1186256408691,19.1454410552979,6.06818059651195,8.16727447509766,256T
4H6010BJ,6,0.596715881851309,Delta,AL,AL,1.38761882033251,1.52856683731079,0.13656863617746,265,174.199999988079,Dbl - Closed,54,"A,B,C",H,TIC Premium Brand,1200,0.928,0.788,10,460,60,1177,12.8,5.75,94.3,250,315.3,38,1.342273307790549,5.72118810446678,3.99688911437988,14.5501327514648,16.2862148284912,16.2862148284912,51.6517677307129,22.5192966461182,28.1186256408691,19.1454410552979,6.06818059651195,8.16727447509766,256T
4H4005,4,0.0865321128145722,Wye,AL,AL,2.02004028932487,1.39234447479248,0.353228766742891,190,119.9500015378,Diamond,36,"A,B,C",J,TIC Premium Brand,1800,0.891,0.854,5.00000002556768,460,60,1742,6.15,2.33,53.3,265.5,301.8,57,1.4801373222167729,9.52032160963261,3.7656135559082,10.0496740341187,11.6013660430908,11.6013660430908,29.5144386291504,15.195725440979,33.7297401428223,19.7748794555664,7.23802380440603,5.85333633422852,184T
4H4005BJ,4,0.0865321128145722,Wye,AL,AL,2.02004028932487,1.39234447479248,0.353228766742891,190,119.9500015378,Diamond,36,"A,B,C",J,TIC Premium Brand,1800,0.891,0.854,5.00000002556768,460,60,1742,6.15,2.33,53.3,265.5,301.8,57,1.4801373222167729,9.52032160963261,3.7656135559082,10.0496740341187,11.6013660430908,11.6013660430908,29.5144386291504,15.195725440979,33.7297401428223,19.7748794555664,7.23802380440603,5.85333633422852,184T
H11020,4,20.9279820249126,Delta,AL,AL,0.0203687290066845,0.0138708744198084,0.00588130286612886,550,362.200000047684,Dbl - Closed,72,"A,B",E,TIC EPACT,1800,0.961,0.878,400,460,60,1780,443.54,87,2436.9,149,201.8,47,1.1075740944017565,17.0256758798907,0.101790487766266,0.525789618492126,15.3922443389893,15.3922443389893,51.7250785827637,23.2731018066406,14.596851348877,12.1195802688599,7.72014430172045,0.36656391620636,505U
