RatingID,PoleSpeed,MotorRotorInertia,Connection,BarMaterial,ERMaterial,WindingResistAt105,BarRes,ERRes,StatorOD,RotorOD,RotorSlotType,StatorSlotType,NemaDesign,NemaKVACode,Name,SRPM,Efficiency100,PowerFactor100,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,LockedRotorAmps,LockedRotorTorque,BreakDownTorque,SFRiseByRes1,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize,Zbase,R1,R2,R3,X1,X2,X3,Xm,XdPrime,XdDoublePrime,ShortCircuitTimeConstant,SubTransientTimeConstant,OpenCircuitTimeConstant,L1,L2,L3,FirstCycleInrush
YH4001C,4,0.01880971,Wye,AL,AL,13.74811728,6.785749435,2.272923861,160,97.39999998,Diamond,36,"A,B,C",M,TIC Premium Brand,1800,0.853,0.665,0.999999989,575,60,1765,1.32,0.91,10.7,311.6,474.2,22,1.700250986,13.14418596,22.80679131,52.49484253,12.99765396,12.99765396,60.1462822,22.00031471,30.69268227,20.73624992,0,27.27380371,56C,251.4972764,13.74811728,9.058673297,9.05867403,9.79359939,21.08116143,14.55184382,364.809236,29.72309866,18.20426252,0.008965846,0.006183971,0.112997349,0.025978329,0.055919517,0.038599965,2.017851323
YH6001C,6,0.030028469,Wye,AL,AL,16.75238755,8.80865097,2.28918177,160,104.48,Diamond,36,"A,B",K,TIC Premium Brand,1200,0.836,0.684,0.999999989,575,60,1168,1.31,0.87,8.7,232.5,302.5,28,1.44047619,4.82596948,27.85021973,67.69902802,11.48639297,11.48639297,46.49288559,19.45839882,26.96813393,21.18386459,0,34.73060608,145T,253.4171029,16.75238755,11.09783274,11.09783218,14.33563192,32.66204042,19.79594489,381.5820745,44.42235782,26.27555331,0.011109224,0.007052299,0.099011822,0.038026445,0.086638753,0.052510375,2.0715336
YH2002C,2,0.010433628,Wye,AL,AL,8.371674086,3.236463547,2.117273865,160,81.19999999,Diamond,24,"A,B",K,TIC Premium Brand,3600,0.867,0.808,1.999999978,575,60,3500,2.14,1.06,17.4,278.2,283.1,46,0.9417831,24.77330999,13.72541142,23.03092575,10.57655716,10.57655716,41.49079132,15.11292553,23.61788177,17.07927704,0,14.38570595,56C,155.1291611,8.371674086,5.353737412,5.353737329,9.469669657,14.98492688,6.796544497,313.1852875,23.77035396,14.07668407,0.011978661,0.006190161,0.162596419,0.025119079,0.039748753,0.018028394,1.916595361
YH4002C,4,0.022571652,Wye,AL,AL,7.792183961,4.513035297,1.312840822,160,97.39999998,Diamond,36,"A,B",K,TIC Premium Brand,1800,0.862,0.731,1.999999978,575,60,1751,2.38,1.42,17.6,268.7,366.2,38,1.572348647,10.9534883,13.61806011,31.10706902,12.99765396,12.99765396,46.66765976,21.20839691,30.69268227,18.12966156,0,17.37003326,56C,139.4858844,7.792183961,5.82587612,5.825876151,6.960914066,12.82291,9.310716266,233.7862006,19.11707246,12.23334163,0.008916143,0.006254609,0.11228371,0.018464398,0.034013825,0.024697442,2.015344432
YH4X50C,4,0.01880971,Wye,AL,AL,26.88267907,13.30006886,4.454930768,160,97.39999998,Diamond,36,,M,TIC Premium Brand,1800,0.848,0.716,0.5,575,60,1762,0.62,0.39,5.1,286.1,402.1,29,1.553709428,13.14418596,44.63768005,116.963974,12.99765396,12.99765396,75.86528778,24.12891197,30.69268227,26.86738014,0,59.86704254,56C,535.4458142,26.88267907,17.75499962,17.75500098,21.05064222,54.22982649,32.55281154,851.2215507,72.03250405,40.91787667,0.011170943,0.007089238,0.135273693,0.055838563,0.143849082,0.086349014,2.086380994
YH6X50C,6,0.025738687,Wye,AL,AL,29.43013422,14.7999258,4.371012861,160,104.48,Diamond,36,,L,TIC Premium Brand,1200,0.818,0.638,0.5,575,60,1172,0.72,0.52,4.8,253.3,327.5,18,1.433260394,5.630297726,48.60107422,123.1581039,11.48639297,11.48639297,58.29722595,20.54490471,26.96813393,24.03981781,0,61.57911682,56C,461.07834,29.43013422,19.17093867,19.17094,23.32029219,62.60833911,35.30983698,638.416163,80.33709475,45.126068,0.011775782,0.007175693,0.096997089,0.061858996,0.166073777,0.093662252,2.088879726
YH2X75C,2,0.006955752,Wye,AL,AL,22.67880333,6.42007637,5.610947507,160,81.19999999,Diamond,24,,K,TIC Premium Brand,3600,0.848,0.75,0.749999972,575,60,3521,0.9,0.54,6.6,250.4,301.6,24,0.901913876,37.15996499,34.70982742,52.14050293,10.57655716,10.57655716,56.6872673,16.63771248,23.61788177,21.15324402,0,32.18328857,56C,368.862672,22.67880333,12.03102388,12.03102409,21.29225374,36.51870176,14.90152747,614.77112,55.76330247,31.69623342,0.012588926,0.006187443,0.143595418,0.056479457,0.096868865,0.039527529,1.907683958
YH4X75C,4,0.01880971,Wye,AL,AL,19.36192887,9.771479607,3.27301036,160,97.39999998,Diamond,36,,L,TIC Premium Brand,1800,0.852,0.709,0.749999972,575,60,1761,0.93,0.57,7.1,272.1,408.5,16,1.613986567,13.14418596,32.40641785,79.05256653,12.99765396,12.99765396,64.15766907,23.02804375,30.69268227,23.90284348,0,41.66586685,56C,356.9638761,19.36192887,13.04448997,13.04448898,15.02145679,33.9582362,22.44345393,582.4147452,47.10880988,28.22777209,0.009883163,0.006644437,0.125338754,0.039845652,0.090077019,0.059533111,2.052493513
YH6X75C,6,0.025738687,Wye,AL,AL,20.4820412,10.4952383,3.09966563,160,104.48,Diamond,36,"A,B",L,TIC Premium Brand,1200,0.825,0.632,0.75,575,60,1172,1.08,0.81,7.2,245.5,314.8,25,1.372275501,5.630297726,34.07694626,80.96588898,11.48639297,11.48639297,50.36297607,19.59145927,26.96813393,21.64629364,0,41.29952621,56C,307.38556,20.4820412,13.59490393,13.59490506,17.35756683,41.64362419,23.51788572,409.8474133,55.16015921,31.85577485,0.011374468,0.006909727,0.088093096,0.046042376,0.110463144,0.062383129,2.055324363
YH2Y15C,2,0.00869469,Wye,AL,AL,10.89526899,4.290964603,3.21656154,160,81.19999999,Diamond,24,"A,B",J,TIC Premium Brand,3600,0.871,0.823,1.5,575,60,3483,1.6,0.74,11,243.9,342.9,40,1.143,29.72797199,18.40279579,31.30592728,10.57655716,10.57655716,43.53549576,15.46857452,23.61788177,18.2848568,0,19.9692688,56C,207.485253,10.89526899,7.507526143,7.507526803,10.75714649,16.63211622,9.308191623,448.6167632,26.79468354,16.64691474,0.009588257,0.005563677,0.164383175,0.028534217,0.044118059,0.024690745,1.90804398
