DesignAuditID,RatingID,PoleSpeed,EfficiencyBand,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,Connection,WindingResistAt105,BarRes,ERRes,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize
2038,3Q2150K,2,20,150,4000,60,3574,20,5.2,Wye,1.18358589934592,0.457514256238937,0.330398779254986,1.002615518744551,25.2464015454338,6.74735927581787,27.7997264862061,15.3750019073486,15.3750019073486,74.7123413085938,41.1359977722168,6.58938646316528,6.4867467880249,8.72884284878006,20.0271854400635,N449
2039,3Q2200K,2,20,199.999995909172,4000,60,3575,26.4,5.9,Wye,0.839135524054793,0.386529922485352,0.229443596704851,1.041961338991042,20.197121236347,5.48998403549194,22.8252773284912,15.3750019073486,15.3750019073486,72.2833786010742,41.066234588623,6.58938646316528,6.47171401977539,8.72884284878006,16.459436416626,N449
2040,RF8200U,8,20,199.999995909172,4000,60,887,30.49,13.8,Wye,1.05436746201896,0.819323003292084,0.0661667594231978,1.2432885906040267,3.33897270034025,4.23003530502319,25.1600036621094,26.0842819213867,26.0842819213867,51.3593063354492,22.2732887268066,11.4508543014526,8.71776962280273,3.98596941883968,15.2266731262207,5011
2041,3Q2250K,2,20,250,4000,60,3578,33.17,9.14,Wye,0.573111385630818,0.278887093067169,0.146843901891105,1.0419313850063532,17.6724810818037,3.91006469726563,16.3423004150391,15.3750019073486,15.3750019073486,72.5766677856445,40.4971733093262,6.58938646316528,6.33153820037842,8.72884284878006,11.5898790359497,N449
2042,RF8250U,8,20,250,4000,60,886,37.72,15.57,Wye,0.894694577362602,0.726163446903229,0.0535950751327902,1.2437991530550514,3.03542972758204,3.70423102378845,21.822774887085,26.0842819213867,26.0842819213867,48.9242362976074,22.2032852172852,11.4508543014526,8.60893154144287,3.98596941883968,13.4557189941406,5011
2043,3Q2300U,2,20,300,4000,60,3580,40.28,13,Wye,0.373196000993852,0.215569779276848,0.101974931868823,1.0339445961763558,15.7088720727144,2.94101190567017,12.5492658615112,15.3750019073486,15.3750019073486,72.7550659179688,40.108211517334,6.58938646316528,6.21328353881836,8.72884284878006,8.78505039215088,N449
2044,KH4005P,4,20,5,380,50,1442,8.31,3.85,Wye,1.63693086880448,1.00337815284729,0.343228515988172,1.6968433591423464,9.95673703146636,2.9835376739502,7.96202993392944,11.8650979995728,11.8650979995728,31.0942153930664,18.4712028503418,34.9409561157227,19.2541732788086,0,4.72194957733154,184T
2045,KH2020C,2,20,20,575,60,3526,19.2,4.9,Delta,1.05463195383887,0.618378043174744,0.469242930717694,1.1053540587219344,29.6347808591723,2.99218273162842,12.2359943389893,12.63365650177,12.63365650177,72.1282730102539,43.3693389892578,20.3750553131104,17.7295818328857,0,8.86779880523682,256T
2046,KH2020C,2,20,20,575,60,3526,19.2,4.9,Delta,1.05463195383887,0.618378043174744,0.469242930717694,1.1053540587219344,29.6347808591723,2.99218273162842,12.2359943389893,12.63365650177,12.63365650177,72.1282730102539,43.3693389892578,20.3750553131104,17.7295818328857,0,8.86779880523682,256T
2047,KH2020C,2,20,20,575,60,3526,19.2,4.9,Delta,1.05463195383887,0.618378043174744,0.469242930717694,1.1053540587219344,29.6347808591723,2.99218273162842,12.2359943389893,12.63365650177,12.63365650177,72.1282730102539,43.3693389892578,20.3750553131104,17.7295818328857,0,8.86779880523682,256T
2048,3H6060C,6,20,59.9999977500445,575,60,1187,59.22,22.67,Delta,0.214911168542997,0.220786809921265,0.0183517210689136,1.3282563025210083,5.30350632331459,1.09277534484863,4.90747308731079,15.9694128036499,15.9694128036499,71.3766784667969,28.3117160797119,16.795051574707,15.301007270813,5.11705738772969,2.97920203208923,404T
2049,H11015,2,20,450.000016363313,460,60,3567,487.72,98.05,Delta,0.0187676071460402,0.00893762148916721,0.00634209236190217,0.8987921699291962,27.627203457603,0.0714107006788254,0.354668527841568,12.1068906784058,12.1068906784058,44.262321472168,22.485912322998,12.7196989059448,11.5478029251099,10.5802435912545,0.273467719554901,505U
2050,3Q250B,4,20,250,460,60,1780,276,58,Delta,0.0195962533816807,0.019489673897624,0.00422278503660005,1.1481113320079523,10.6827770226765,0.117630988359451,0.781887054443359,16.2688331604004,16.2688331604004,64.3894271850586,26.5141716003418,15.5642595291138,14.1101503372192,8.29871221779611,0.509697437286377,N449
