DesignAuditID,RatingID,PoleSpeed,EfficiencyBand,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,Connection,WindingResistAt105,BarRes,ERRes,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize,Zbase,R1,R2,R3,X1,X2,X3,Xm,XdPrime,XdDoublePrime,ShortCircuitTimeConstant,SubTransientTimeConstant,OpenCircuitTimeConstant,L1,L2,L3,FirstCycleInrush
11,H0803710B,6,10,700.0,4000,60,1189,101.7,39.96,Wye,0.247140344694571,0.190606817603111,0.0232023181593602,1.3594344752582923,4.47731384165538,1.19952738285065,7.10947847366333,20.2764301300049,20.2764301300049,42.9082870483398,23.5921630859375,5.64254426956177,5.15394115447998,3.30657626723977,4.98471689224243,5811UZ,22.70797518936581,0.247140344694571,0.21380913576247118,0.9523870381560791,1.8424032173279439,3.3873291478988037,2.646826081338457,57.79281973870128,5.042187892632012,3.2909815280423516,0.06417551029935997,0.010628353871511413,0.7590198831367889,0.004887126320102564,0.008985169629455874,0.007020924239159443,2.3385774858765576
12,H09010,6,10,700.000016363313,4160,60,1192,103.08,52.75,Wye,0.179626741802939,0.156303554773331,0.0167636748701377,1.358433734939759,3.91764961144846,0.958351016044617,6.01057577133179,20.2764301300049,20.2764301300049,45.8574066162109,23.3834171295166,5.64254426956177,5.03907823562622,3.30657626723977,4.04672765731812,5811US,23.300127278122268,0.179626741802939,0.17306722964346868,0.778724274241678,1.495953430076962,2.9286832796395657,2.142842625942804,45.531319807181866,4.247641554824082,2.7006520840138277,0.06708656258129736,0.010600271973642383,0.7427411348954552,0.003968139717200409,0.007768573678420342,0.005684066603113577,2.3321850433919686
13,H11037,4,10,600.0,4160,60,1771,77.7,25.12,Wye,0.382896703621306,0.412241756916046,0.0615112536607582,1.135247449943332,13.4256722253374,1.4881294965744,6.29023313522339,18.6943454742432,18.6943454742432,31.3526172637939,17.8730640411377,8.25512504577637,5.40246534347534,5.461621131424,4.80550575256348,5012,30.910902443099655,0.382896703621306,0.4737530105768042,1.105232792953094,2.4767239543069315,3.064123669299163,2.173019720568507,95.61214649000172,5.445699581978637,3.7314202641792997,0.030673516649881254,0.008456044987875746,0.5524966178263466,0.006569714333367562,0.008127840470230631,0.005764113832744118,2.125435907258805
14,H11037,4,10,600.0,4160,60,1771,77.77,25.12,Wye,0.406325576004628,0.412241756916046,0.0615112536607582,1.134950720242608,13.4256722253374,1.51155841350555,6.28920030593872,18.6943454742432,18.6943454742432,31.3399429321289,17.8760871887207,8.25512504577637,5.40807342529297,5.461621131424,4.80651187896729,5012,30.883079848641426,0.406325576004628,0.4737530105768042,1.105232837500922,2.4773714922244046,3.0640147492807213,2.1736416159620116,95.61214649000172,5.446244859170196,3.732256840028616,0.030676351612681126,0.00845794831372044,0.5524960079741328,0.006571431981040983,0.008127551550908354,0.005765763461510157,2.125599433970415
15,H920367,4,10,399.999991818344,4160,60,1783,50.96,16.73,Wye,0.74249585059682,0.35850864648819,0.113773307203553,1.0158119658119658,15.2346049041197,2.60457587242126,10.6274785995483,19.9653816223145,19.9653816223145,44.9844169616699,21.3945178985596,9.70170497894287,6.02553606033325,6.75254271703497,7.01335048675537,505U,47.130634219561294,0.74249585059682,0.472281953691743,1.8620800218244402,4.15163404988119,6.310418925694336,3.302330323527589,143.56109502862182,10.196349467503275,6.287244335046317,0.058104987819860364,0.008210328520144673,0.8417567827877115,0.011012551349120265,0.016738906083415023,0.008759703245194563,2.0684411589503613
16,H920367A,4,10,400.0,2300,60,1782,90.64,25.59,Delta,0.74249585059682,0.35850864648819,0.113773307203553,1.0161812297734627,15.2346049041197,2.60457587242126,10.5959882736206,19.9653816223145,19.9653816223145,44.2933120727539,21.5082931518555,9.70170497894287,6.22756290435791,6.75254271703497,7.06125974655151,505U,14.650326777759702,0.24749861686560667,0.15742731789724765,0.6206933406081467,1.389210902347492,2.086543212884743,1.1107680269298337,51.891583397270004,3.395098063371103,2.1041040136246334,0.057954641649564806,0.008254588610803944,0.909508144625567,0.003684996368429261,0.005534727771757529,0.002946403701905243,2.073270468554254
17,H920369,4,10,400.0,2300,60,1782,90.64,25.59,Delta,0.74249585059682,0.35850864648819,0.113773307203553,1.0161812297734627,15.2346049041197,2.60457587242126,10.5959882736206,19.9653816223145,19.9653816223145,44.2933120727539,21.5082931518555,9.70170497894287,6.22756290435791,6.75254271703497,7.06125974655151,505U,14.650326777759702,0.24749861686560667,0.15742731789724765,0.6206933406081467,1.389210902347492,2.086543212884743,1.1107680269298337,51.891583397270004,3.395098063371103,2.1041040136246334,0.057954641649564806,0.008254588610803944,0.909508144625567,0.003684996368429261,0.005534727771757529,0.002946403701905243,2.073270468554254
18,H0102510,2,10,800.0,4160,60,3582,97.64,24.64,Wye,0.232989811027726,0.121759742498398,0.0189901667769607,0.7676224611708482,31.108683420097,0.88110363483429,3.86811995506287,18.5331363677979,18.5331363677979,16.8041362762451,14.8054065704346,4.12748765945435,3.849928855896,7.19222266031972,3.73083853721619,5812USS,24.5982908626469,0.232989811027726,0.1407499092753587,0.648113823806564,2.9115296150737633,2.1275620617941318,1.4803760253382103,97.47472077227448,4.993645727257215,3.7767426893659293,0.09337563008802345,0.011027350534803224,1.8771114119946275,0.007723072169957213,0.00564353364782201,0.003926819367788485,2.2145495524999173
19,H940243,4,10,500.0,4160,60,1788,59.5,13.0,Wye,0.301062802579006,0.226696744561195,0.0114794001192338,0.9248554913294798,10.1893786047034,1.11032736301422,8.16964721679688,22.5957794189453,22.5957794189453,17.3123531341553,10.9984550476074,5.94718360900879,5.18791484832764,5.08689760126846,7.13759565353394,5810,40.36600201393014,0.301062802579006,0.2381761446804288,0.8092645604352141,5.04383131047777,3.7895997426838575,2.476126519727746,184.75208614068026,8.757261869978267,6.529385732199511,0.09688565428830119,0.0151266208255504,2.0998003618623637,0.01337917808640349,0.010052225523131843,0.006568129588926705,2.400922219404299
20,4H4002,4,20,2.0,460,60,1734,2.69,1.38,Wye,4.88729963260918,4.1655158996582,1.02154305559091,1.5944422070076518,10.4723537705959,10.0743589401245,19.0428409576416,13.7188405990601,13.7188405990601,36.9264297485352,18.6745452880859,31.0262050628662,20.9921283721924,6.66294855878327,11.9111948013306,145T,98.72904231495461,4.88729963260918,5.1870589552491095,5.1870593075153195,4.779997332549888,7.163264626991436,6.092220726841298,192.4500897298753,11.686203205723826,8.016860674481908,0.006048358949764799,0.004560047389426965,0.10207920752761052,0.01267933672402315,0.019001149567683485,0.016160117384728202,1.8895994236990334
21,4H4005,4,20,5.00000002556768,460,60,1742,6.15,2.33,Wye,2.02004028932487,1.39234447479248,0.353228766742891,1.4801373222167729,9.52032160963261,3.7656135559082,10.0496740341187,11.6013660430908,11.6013660430908,29.5144386291504,15.195725440979,33.7297401428223,19.7748794555664,7.23802380440603,5.85333633422852,184T,43.18392257353298,2.02004028932487,1.745573241535371,1.74557326658333,2.8485935894301853,3.9410967205658487,2.948630004943431,113.98331494730809,6.657976756023847,4.510688826629863,0.010212106303459242,0.006957455326270849,0.17919856336742748,0.007556129176961651,0.010454083738021884,0.007821484010597115,2.0430132419561473
22,H0402024,4,20,5.0,380,50,1449,7.24,2.44,Delta,2.75364538352442,2.70945358276367,0.690636657896611,1.3150873965041396,9.68411208893812,7.24818134307861,20.9826164245605,15.2172355651855,15.2172355651855,64.2552032470703,28.7238731384277,21.5398426055908,19.5433177947998,7.05493016577206,13.1986436843872,215T,30.302914681223452,0.91788179450814,1.133363413553427,1.4981786531847296,1.6246762154232253,3.6937577483163726,2.508794701328343,89.91520585740074,5.172680333128801,3.094299723937029,0.01485606076006374,0.0076979734590965024,0.2629047152466052,0.005171505012168786,0.011757596084570795,0.00798574155838322,2.038573679454215
23,H040245,4,10,250.0,4160,60,1789,32.28,10.43,Wye,0.725136961702398,0.463581115007401,0.0874615057509683,1.372655478775913,7.48530074659122,2.99005055427551,20.262523651123,15.9386224746704,15.9386224746704,60.9358444213867,31.9821834564209,10.9243240356445,7.98371934890747,5.83941178291976,12.6522188186646,N449,74.40449565764695,0.725136961702398,0.5510426207583693,2.264913592573112,4.278641850057683,10.482909001138001,7.678204063896141,230.27585041503772,14.305113123269939,8.626944827133897,0.07068273219466205,0.012504632547307422,1.158952901592921,0.011349450002608874,0.027806779758560603,0.020367068847289165,2.467547417918155
24,H040245,4,10,250.0,4160,60,1789,32.28,10.43,Wye,0.725136961702398,0.463581115007401,0.0874615057509683,1.372655478775913,7.48530074659122,2.99005055427551,20.262523651123,15.9386224746704,15.9386224746704,60.9358444213867,31.9821834564209,10.9243240356445,7.98371934890747,5.83941178291976,12.6522188186646,N449,74.40449565764695,0.725136961702398,0.5510426207583693,2.264913592573112,4.278641850057683,10.482909001138001,7.678204063896141,230.27585041503772,14.305113123269939,8.626944827133897,0.07068273219466205,0.012504632547307422,1.158952901592921,0.011349450002608874,0.027806779758560603,0.020367068847289165,2.467547417918155
25,3Q8150C,8,10,150.000002045414,575,60,891,149.8,57.04,Delta,0.0501354259206184,0.0643178299069405,0.0042489654997761,1.3216374269005848,2.78969197089793,0.309534966945648,2.03509783744812,16.2961120605469,16.2961120605469,58.02294921875,29.2119102478027,25.5488548278809,21.7801399230957,5.30552184987748,1.3091516494751,N449,2.2161308730576423,0.016711808640206133,0.022855598468905534,0.08646651367500988,0.157449854695036,0.3558270335109057,0.2584061164508222,5.820063197476066,0.4927757340335599,0.3033915570789987,0.05908872681759717,0.011214129406383586,0.7167634511895532,0.00041764871106359414,0.000943860521149769,0.0006854435126388048,2.385618979973505
26,4H6010,6,10,10.0,460,60,1177,12.8,5.75,Delta,1.38761882033251,1.52856683731079,0.13656863617746,1.342273307790549,5.72118810446678,3.99688911437988,14.5501327514648,16.2862148284912,16.2862148284912,51.6517677307129,22.5192966461182,28.1186256408691,19.1454410552979,6.06818059651195,8.16727447509766,256T,20.748525299002175,0.46253960677750333,0.5550451578294167,0.8697567646824567,1.2142036325721572,2.3991024075156764,1.494466112703685,46.188021535170066,3.4948447710376827,2.1170497426049417,0.017119493719932443,0.006974346693482865,0.23219975399051468,0.003220775167399905,0.0063638167856631105,0.003964194485335351,2.0518063134226185
27,4H6010,6,10,10.0,460,60,1177,12.8,5.75,Delta,1.38761882033251,1.52856683731079,0.13656863617746,1.342273307790549,5.72118810446678,3.99688911437988,14.5501327514648,16.2862148284912,16.2862148284912,51.6517677307129,22.5192966461182,28.1186256408691,19.1454410552979,6.06818059651195,8.16727447509766,256T,20.748525299002175,0.46253960677750333,0.5550451578294167,0.8697567646824567,1.2142036325721572,2.3991024075156764,1.494466112703685,46.188021535170066,3.4948447710376827,2.1170497426049417,0.017119493719932443,0.006974346693482865,0.23219975399051468,0.003220775167399905,0.0063638167856631105,0.003964194485335351,2.0518063134226185
28,4H6010BJ,6,20,10.0,460,60,1177,12.8,5.75,Delta,1.38761882033251,1.52856683731079,0.13656863617746,1.342273307790549,5.72118810446678,3.99688911437988,14.5501327514648,16.2862148284912,16.2862148284912,51.6517677307129,22.5192966461182,28.1186256408691,19.1454410552979,6.06818059651195,8.16727447509766,256T,20.748525299002175,0.46253960677750333,0.5550451578294167,0.8697567646824567,1.2142036325721572,2.3991024075156764,1.494466112703685,46.188021535170066,3.4948447710376827,2.1170497426049417,0.017119493719932443,0.006974346693482865,0.23219975399051468,0.003220775167399905,0.0063638167856631105,0.003964194485335351,2.0518063134226185
